Terminal_ID,Terminal_Name,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio,Veh_Segments_Count,Pax_Segments_Count,Empty_Return_Index,Veh_log,Pax_log,Empty_Severity
222,8th District (Nasr City) - Al tabba,19.0,388.0,20.42105263157895,1,5,0.0,2.995732273553991,5.963579343618446,0.0
223,Basateen,0.0,0.0,,0,0,,0.0,0.0,
224,Al Magzar (Mariouteya),324.0,2486.0,7.672839506172839,14,11,0.0,5.783825182329737,7.818832443803404,0.0
225,Masaken Othman (Ezbet El Nakhl),220.0,2337.0,10.622727272727273,11,14,0.0,5.3981627015177525,7.757051142032013,0.0
226,El Kafr (Birak Al Khiyam),40.0,480.0,12.0,2,2,0.0,3.713572066704308,6.175867270105761,0.0
227,Nahia,5.0,0.0,0.0,1,0,1.0,1.791759469228055,0.0,1.791759469228055
228,Qasr Al Einy,597.0,9537.0,15.974874371859297,3,4,0.0,6.393590753950631,9.16303909885817,0.0
229,Mohagreen (Ezbet Al Nakhl),97.0,715.0,7.371134020618556,9,5,0.0,4.584967478670572,6.573680166960646,0.0
230,Faisal Tawabek,34.0,427.0,12.558823529411764,6,4,0.0,3.5553480614894135,6.059123195581797,0.0
231,Al Malek Al Saleh,165.0,1816.0,11.006060606060606,9,7,0.0,5.111987788356544,7.504942068396171,0.0
232,Imbaba,32.0,396.0,12.375,2,9,0.0,3.4965075614664802,5.983936280687191,0.0
233,Al-Salam (10th of Ramadan),5.0,1234.0,246.8,1,4,0.0,1.791759469228055,7.118826249062078,0.0
234,Saqqara Traffic Office,50.0,532.0,10.64,3,2,0.0,3.9318256327243257,6.278521424165844,0.0
235,Koleyet Al Banat - Ain Shams University,198.0,2121.664325972967,10.715476393802865,5,7,0.0,5.293304824724492,7.660427336141761,0.0
236,Lotus  (5th Settlement),0.0,0.0,,0,0,,0.0,0.0,
237,El Itihad Square (Maadi),0.0,0.0,,0,0,,0.0,0.0,
238,El Warsha (Ezbet Al Nakhl),116.0,963.0,8.301724137931034,9,7,0.0,4.762173934797756,6.871091294610546,0.0
239,Bashtil El Balad,26.0,230.0,8.846153846153847,3,2,0.0,3.295836866004329,5.442417710521793,0.0
240,Kafr Al Shurafa,37.0,377.0,10.18918918918919,3,2,0.0,3.6375861597263857,5.934894195619588,0.0
241,Ring Rd Exit to Khosous,26.0,502.0,19.307692307692307,3,3,0.0,3.295836866004329,6.220590170099739,0.0
242,Abdullah El Refaey,10.0,0.0,0.0,1,0,1.0,2.3978952727983707,0.0,2.3978952727983707
243,Bus Stop 43 (Matareya),2.0,0.0,0.0,2,0,1.0,1.0986122886681098,0.0,1.0986122886681098
244,Helmeyet El Zaitoun Metro,394.0,13124.723787959792,33.31148169532942,7,14,0.0,5.978885764901122,9.482329231688672,0.0
245,Kafr Tohormos,22.0,492.0,22.363636363636363,2,7,0.0,3.1354942159291497,6.20050917404269,0.0
246,Korba,290.0,4825.0,16.637931034482758,11,7,0.0,5.673323267171493,8.481773246184977,0.0
247,Koleyet Al Banat - Azhar University,2.0,24.0,12.0,1,1,0.0,1.0986122886681098,3.2188758248682006,0.0
248,Kolleyet Al Zeraah (Ain Shams University),190.0,1289.8739592442255,6.788810311811713,7,4,0.0,5.25227342804663,7.1630747557506895,0.0
249,Fayda Kamel,78.0,881.0,11.294871794871796,5,4,0.0,4.3694478524670215,6.782192056006791,0.0
250,Maadi Metro,41.0,514.0,12.536585365853659,2,4,0.0,3.7376696182833684,6.244166900663736,0.0
251,Al Sheikh Mansour,12.0,394.0,32.833333333333336,1,1,0.0,2.5649493574615367,5.978885764901122,0.0
252,Awwel Faisal,129.0,2736.0,21.209302325581394,5,6,0.0,4.867534450455582,7.914617709040679,0.0
253,Cairo University,656.0,10340.484642533062,15.762933906300399,6,8,0.0,6.48768401848461,9.243918720205453,0.0
255,Barageel St,6.0,42.0,7.0,2,1,0.0,1.9459101490553132,3.7612001156935624,0.0
256,Khalafawy Square,522.0,4415.2710052500215,8.458373573275903,12,19,0.0,6.259581464064923,8.393050955016422,0.0
258,Zahraa Metro,193.0,1791.0,9.279792746113989,5,7,0.0,5.267858159063328,7.491087593534876,0.0
